[Thread debugging using libthread_db enabled]
Using host libthread_db library "/lib/powerpc-linux-gnu/libthread_db.so.1".
[New Thread 0x4dd8a060 (LWP 4436)]
[New Thread 0x4c86a060 (LWP 4435)]
[New Thread 0x4c846060 (LWP 4423)]
[New Thread 0x4c7c1060 (LWP 4421)]
[New Thread 0x4c79d060 (LWP 4420)]
[New Thread 0x4c779060 (LWP 4419)]
[New Thread 0x4d3e7060 (LWP 4417)]
[New Thread 0x4d3c3060 (LWP 4408)]
[New Thread 0x4c755000 (LWP 4401)]
[New Thread 0x4c1ae060 (LWP 4371)]
[New Thread 0x4c08e060 (LWP 4353)]
0x0fca81a8 in select () from /lib/powerpc-linux-gnu/libc.so.6
Breakpoint 1 at 0x1082fabc
Breakpoint 2 at 0x1082fabc
Breakpoint 3 at 0x1082fabc

=== Watching for MISC1r writes. Flapping port... ===

MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80b0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80c0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80b0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80c0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80b0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80c0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80b0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80c0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00cd reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8130 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c9 reg=0x1f data=0x8300 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80b0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x81d0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8340 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x80c0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0x8370 (BLOCK SELECT)
MIIM_WRITE: phy=0x00d1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00c1 reg=0x1f data=0xffe0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0xffd0 (BLOCK SELECT)
MIIM_WRITE: phy=0x00b5 reg=0x1f data=0x0000 (BLOCK SELECT)
